code,name,股息率_2024,select,get,rate,profit_min
601127,赛力斯,0.89,43,42,97.67,0.82
600660,福耀玻璃,2.99,41,39,95.12,0.56
600750,江中药业,5.19,38,36,94.74,0.56
000063,中兴通讯,1.98,38,36,94.74,0.77
000538,云南白药,4.24,44,41,93.18,0.6
600016,民生银行,4.62,44,41,93.18,0.5
601601,中国太保,3.22,42,39,92.86,0.85
601928,凤凰传媒,4.33,41,38,92.68,0.85
601107,四川成渝,4.73,39,36,92.31,0.57
001965,招商公路,3.35,39,36,92.31,0.51
000999,华润三九,3.14,38,35,92.11,0.5
600941,中国移动,4.09,34,31,91.18,0.53
002179,中航光电,2.01,44,40,90.91,0.57
601318,中国平安,4.79,40,36,90.0,0.51
601166,兴业银行,4.65,35,31,88.57,0.54
601728,中国电信,3.28,35,31,88.57,0.77
600282,南钢股份,4.31,42,37,88.1,0.63
000895,双汇发展,5.74,36,31,86.11,0.55
600737,中粮糖业,6.63,42,36,85.71,0.73
600036,招商银行,4.54,35,30,85.71,0.54
000858,五粮液,4.48,41,35,85.37,0.55
600062,华润双鹤,2.44,45,38,84.44,0.55
600887,伊利股份,3.99,49,41,83.67,0.56
